Epoch: [0]  [  430/12690]  eta: 0:34:48  lr: 0.002158  loss: 0.1434 (0.1783)  loss_classifier: 0.0956 (0.1223)  loss_box_reg: 0.0137 (0.0239)  loss_objectness: 0.0013 (0.0037)  loss_rpn_box_reg: 0.0232 (0.0284)  time: 0.1718  data: 0.0027  max mem: 1670
Epoch: [0]  [  440/12690]  eta: 0:34:46  lr: 0.002208  loss: 0.1379 (0.1786)  loss_classifier: 0.0793 (0.1224)  loss_box_reg: 0.0125 (0.0238)  loss_objectness: 0.0019 (0.0037)  loss_rpn_box_reg: 0.0251 (0.0286)  time: 0.1699  data: 0.0027  max mem: 1670
Epoch: [0]  [  450/12690]  eta: 0:34:44  lr: 0.002258  loss: 0.1751 (0.1781)  loss_classifier: 0.0888 (0.1220)  loss_box_reg: 0.0121 (0.0237)  loss_objectness: 0.0021 (0.0037)  loss_rpn_box_reg: 0.0258 (0.0287)  time: 0.1688  data: 0.0028  max mem: 1670
Epoch: [0]  [  460/12690]  eta: 0:34:42  lr: 0.002308  loss: 0.1318 (0.1774)  loss_classifier: 0.0785 (0.1216)  loss_box_reg: 0.0121 (0.0235)  loss_objectness: 0.0013 (0.0037)  loss_rpn_box_reg: 0.0221 (0.0287)  time: 0.1696  data: 0.0028  max mem: 1670
Epoch: [0]  [  470/12690]  eta: 0:34:41  lr: 0.002358  loss: 0.1319 (0.1768)  loss_classifier: 0.0840 (0.1213)  loss_box_reg: 0.0145 (0.0235)  loss_objectness: 0.0013 (0.0036)  loss_rpn_box_reg: 0.0148 (0.0284)  time: 0.1710  data: 0.0028  max mem: 1670
Epoch: [0]  [  480/12690]  eta: 0:34:39  lr: 0.002408  loss: 0.1375 (0.1764)  loss_classifier: 0.0940 (0.1209)  loss_box_reg: 0.0163 (0.0234)  loss_objectness: 0.0006 (0.0036)  loss_rpn_box_reg: 0.0199 (0.0285)  time: 0.1713  data: 0.0028  max mem: 1670
Epoch: [0]  [  490/12690]  eta: 0:34:39  lr: 0.002458  loss: 0.1375 (0.1754)  loss_classifier: 0.0804 (0.1197)  loss_box_reg: 0.0126 (0.0233)  loss_objectness: 0.0008 (0.0036)  loss_rpn_box_reg: 0.0270 (0.0289)  time: 0.1731  data: 0.0028  max mem: 1670
Epoch: [0]  [  500/12690]  eta: 0:34:36  lr: 0.002507  loss: 0.1291 (0.1751)  loss_classifier: 0.0804 (0.1197)  loss_box_reg: 0.0152 (0.0231)  loss_objectness: 0.0011 (0.0035)  loss_rpn_box_reg: 0.0204 (0.0288)  time: 0.1714  data: 0.0029  max mem: 1670
Epoch: [0]  [  510/12690]  eta: 0:34:35  lr: 0.002557  loss: 0.1387 (0.1752)  loss_classifier: 0.0884 (0.1197)  loss_box_reg: 0.0133 (0.0231)  loss_objectness: 0.0011 (0.0036)  loss_rpn_box_reg: 0.0242 (0.0289)  time: 0.1703  data: 0.0027  max mem: 1670
Epoch: [0]  [  520/12690]  eta: 0:34:34  lr: 0.002607  loss: 0.1447 (0.1749)  loss_classifier: 0.0814 (0.1191)  loss_box_reg: 0.0107 (0.0230)  loss_objectness: 0.0020 (0.0035)  loss_rpn_box_reg: 0.0344 (0.0292)  time: 0.1729  data: 0.0028  max mem: 1670
